Source,Target
35409644,30084918
35409644,30804831
35409644,34934967
13124424,31388335
13124424,30878128
13124424,32891358
31837864,31057370
38179130,38179056
38179130,38178875
38179130,38178979
38179130,38179103
32678741,30800331
32678741,34206190
32678741,35476416
32678741,35707854
32678741,31250640
33902005,33321321
33902005,33229176
33902005,32983135
35667557,36476075
35667557,35579363
31059190,30467361
31059190,33688541
31059190,30629980
31059190,31591842
36339839,31678860
36339839,32614984
36690494,37041794
36690494,36410691
36690494,37194594
36690494,36212395
34210874,32066288
34210874,36513030
35268526,36111851
35268526,32844106
35268526,31539260
32266744,32645288
32266744,30607876
32266744,32997178
35828056,34059265
35828056,35836137
35828056,32971741
35398836,33978939
35398836,35408400
33142109,34518939
38168172,38167748
38168172,38167959
38168172,38168104
34752833,34486294
34752833,34032656
34752833,30043978
31328935,36160751
31328935,13122390
31328935,35918209
37194594,36690494
37194594,37041794
37194594,36212395
37194594,36410691
30620754,35867969
30620754,31453986
30620754,35767950
30620754,30511183
38173055,38167459
38173055,38104881
38173055,38147148
38173055,38122354
38173055,38128544
38173055,38140936
38173055,38172968
38173055,38178317
36432074,36608844
33329584,30925102
33329584,34194241
33329584,30581799
34543536,33872357
34543536,31695801
36083448,35871049
36083448,34113419
32908843,35485126
32940482,35478994
32940482,36683449
32940482,30225360
31375458,35836137
31375458,32971741
31375458,31275902
37253037,31013901
37253037,32288645
34393609,32431470
34393609,33606118
34393609,35983085
38147148,38104881
38147148,38111299
38147148,38122354
38147148,38128544
38147148,38140936
38147148,38106313
38147148,38116097
38147148,38167459
38147148,38178317
38147148,38173055
38160407,38159792
38160407,38160780
38160407,38164858
38173808,38172968
38173808,38173264
38173808,38173581
37338249,36117553
37338249,31710484
37338249,33087957
37338249,31895260
34525738,36178712
34525738,34090205
38111299,38116097
38111299,38106313
38111299,38122354
36779792,34679133
36779792,30650558
36779792,37274246
31739827,33052354
31739827,35937208
31739827,36828052
34032656,34452867
33951339,32807102
33951339,35720135
33951339,35388577
33951339,35040012
38178317,38167459
38178317,38173055
38178317,38104881
38178317,38140936
38178317,38147148
38178317,38116097
38178317,38122354
35227975,34766820
35227975,37045917
36072564,34934967
36072564,35930864
36072564,36161601
36072564,34565798
36072564,35294005
30385232,30692731
30385232,30055168
30385232,30733016
33505589,31001290
33505589,33165635
33505589,33197743
33505589,31022933
32857477,34093837
32983135,34433699
32983135,33229176
32983135,32991834
32983135,33198717
35870061,34715436
35870061,36136603
36550738,35922826
36550738,34607379
36550738,30959677
35277962,35867154
35277962,33809374
38177462,38177045
30203298,36795112
30203298,32741902
36354697,36237113
36354697,32432113
36354697,31702010
35008637,33329584
35008637,30925102
38159177,38158735
38173004,38172968
36683449,35478994
37280116,37325780
37280116,37263229
37280116,37207478
37280116,35476416
37280116,36996137
30882178,30825770
30882178,33055505
30882178,32134681
30882178,35870061
31710484,31989047
31710484,31241234
31710484,36117553
31710484,32375332
30927209,30612591
30927209,35611805
30927209,32374671
30927209,32774912
36084901,35744199
36084901,32999895
38171728,38171300
33563819,30723438
33563819,31969026
33563819,34615712
30158188,32101499
36828052,33052354
36828052,32447263
36828052,31739827
36828052,35937208
30692731,32469703
30629980,31957997
30629980,31059190
30629980,30545376
38173060,38172968
36316502,35964533
36245659,36406091
36245659,35492781
36245659,33978116
36245659,36478328
36245659,35651432
36245659,35675480
36245659,36568103
36245659,36064858
36556330,36160630
36556330,33743051
36556330,36670134
35629371,36473107
35629371,34565798
35629371,34218675
37357863,36326340
37357863,37693325
37357863,36056398
37357863,36756548
36941143,36246923
36941143,37074427
36941143,37456589
36941143,35441134
36239768,30804831
30558975,35840921
30558975,32819005
34718094,32573869
34718094,34189837
34718094,36075974
34718094,34906523
32597127,35611805
32597127,33431751
32597127,35591583
32597127,35371711
38183998,38183932
38183998,38182716
38183998,38179329
30992504,34679133
30992504,33534112
30491797,32233198
30491797,33335726
30491797,35823123
30491797,31571399
30491797,32076118
37008681,34934967
37008681,37428784
37008681,37349888
36111851,35268526
32891358,30410374
32891358,30878128
32891358,13124424
32891358,34606353
32891358,31260093
38182666,38182657
35964533,33069901
35964533,31381697
33176343,37063341
33176343,35255714
33733634,34502095
33733634,34093920
33733634,35051612
36471636,36463325
36471636,35887691
31973020,36354697
31973020,31702010
31973020,36237113
31973020,32432113
36145400,35073967
36145400,31432764
31665929,32627723
31665929,30233436
31665929,34892995
31643518,35680648
31643518,32131364
34607379,35922826
30717059,34934967
30717059,36097770
33688541,36160630
33688541,31059190
34865015,34210874
34865015,30065883
34865015,30973259
34865015,32066288
38167637,38164211
37779885,37263229
37779885,37848731
37779885,37110504
37779885,37713587
37779885,37801934
33776231,30511889
33776231,30487933
31469662,31106807
31469662,31079786
35893942,32895756
35893942,31149466
35893942,30633749
30261085,31571399
38178773,38178727
38178773,38178100
36729582,36056398
37053575,34758525
37053575,31333899
37053575,35716588
35408400,33978939
35408400,35398836
30889394,34399008
30889394,35766020
30889394,35579363
37207577,37198669
37207577,37889517
34643199,36073755
34643199,35340926
34643199,34721795
36021497,34163353
36021497,34502095
32733144,35340926
33921925,31153292
32131364,33732532
32131364,34052717
36539261,36544600
36539261,36607956
30992900,32921060
30992900,30723438
30992900,32037805
30992900,30135809
33011319,30148292
33011319,35918209
33011319,36160751
33011319,13112848
37785766,37601819
37785766,37743453
37785766,37613228
38167459,38147148
38167459,38140936
38167459,38104881
38167459,38128544
38167459,38122354
38167459,38116097
38167459,38106313
38167459,38111299
38167459,38173055
38167459,38178317
36161601,36064858
36161601,35821998
36161601,34934967
36161601,36072564
36161601,35294005
36161601,35822030
37667019,37309443
37667019,37778129
37667019,37593397
37667019,33176343
37667019,37063341
36501813,32565130
36501813,36316502
38171300,38171182
38171300,38171208
38171300,38171139
38171300,38171258
35591583,35611805
35591583,35371711
32432113,31702010
32432113,36354697
36046607,35662743
36046607,35269470
36046607,30845569
31041466,30845569
31041466,31178543
36241567,31216866
36241567,36413176
36241567,36287377
33431751,33142109
31079786,33053868
