38104881,38147148,487
38161014,38159602,15
37701675,38162111,66
38159901,38160857,14
38159496,38159901,1542
38143017,38144348,10
38158880,38159002,13
37549029,37548795,184
38071632,38079174,17
38099253,38103443,48
37285767,37432252,48
37549287,37548795,28
37552113,37548795,24
38150001,38160179,44
37463709,37465966,43
38140936,38128544,253
37440104,38108481,48
37722674,37707906,12
38079170,38077473,18
37565728,37416793,160
37562342,37549242,39
37767589,37312380,38
38133298,38134208,14
37290583,37389392,11
37704005,38162111,61
37756300,37685542,30
37536821,37493482,198
37589638,37593605,85
37457228,37475708,12
37306650,37304894,90
38156412,38156452,36
37819812,38162111,59
37356402,37490787,20
37463138,37523289,95
37578091,37599559,140
38159901,38160982,515
38150001,38148968,115
38106313,38104881,302
37465132,37337908,91
37592416,37656516,29
37390209,37478193,19
38155501,38156412,24
37786773,37932970,50
38111299,38147148,128
37613228,37992267,16
37743383,37411696,37
38161761,38161983,15
37280793,37613228,49
37932970,37786773,117
37654156,37658468,25
38128544,38122354,278
38159496,38159647,254
37593605,37589638,49
38159494,38159496,421
38159059,38159494,104
37562243,37562342,10
37414361,37690283,23
37956611,37957013,11
37956320,37957013,61
37463138,37374850,15
38156058,38156412,19
38144129,38144208,22
38111299,38106313,315
37988291,37994563,14
37322314,37296709,21
37822630,37822842,26
38104881,38140936,74
37325780,37956320,55
38148719,38148777,41
37903205,37911966,122
38155883,38156318,23
37264980,37852502,26
37596694,37685460,35
38150318,38150497,14
37628297,37599355,189
37593605,37581924,13
37351482,37351270,19
37429940,37427185,77
38149788,38150497,59
38147148,38140936,282
38111299,38104881,45
38122354,38147148,255
37973603,37889559,23
37922293,38162111,73
38149705,38150001,55
38159002,38159494,29
37654902,37656097,15
38155859,38156412,29
37395282,37399252,14
37337913,37276336,29
37939654,37941597,13
38160780,38161825,33
37395212,37417968,34
37502963,37371598,41
37325780,37280116,91
37756426,37767589,24
37889517,37362428,25
37814946,37374416,17
37578969,37568683,24
38116097,38111299,290
38159496,38158160,48
37571683,37571642,12
38156406,38156412,40
38140016,38140327,30
38025688,38161955,26
37448238,37437023,21
37696652,38162111,77
38018071,38162111,94
37654815,37802570,10
38159838,38159901,302
38149207,38149705,32
38022666,38161955,18
38159496,38159792,29
38159690,38159792,13
38159578,38159792,49
38139119,38158156,31
38159002,38159275,10
37436066,37880294,22
37312380,37767589,14
37806146,37493504,27
37440104,37957760,22
37499507,37949548,20
38155883,38156406,30
37490669,37503157,25
37366945,37380082,12
38122354,38116097,226
38161761,38161875,15
37549115,37549242,21
37586173,37629894,17
38159792,38160780,81
38158716,38158880,10
38159825,38159838,50
37758511,37732340,32
37693950,38162111,185
38160600,38160780,26
37263229,37280116,97
37478193,37390209,27
38151087,38149381,24
38155859,38156452,22
38155859,38154413,81
37685460,37596694,37
38154218,38154413,71
38156412,38157588,23
37806138,37794542,11
38040122,38040479,21
38130995,38127646,11
38122354,38104881,27
37325780,37263229,93
37696652,37693950,54
38160425,38160848,18
37452953,37429940,48
38109204,38141565,24
37273440,37274134,12
37568221,37568683,12
37289234,37657314,14
37956320,37325780,73
38142508,38143017,28
38128544,38147148,241
37276162,37275717,44
37280116,37325780,50
38128544,38104881,23
38151169,38151170,15
37936989,37590738,37
37581924,38154252,25
38133298,37936989,55
37308163,37272189,11
37710739,37703858,27
37326130,37281043,43
37708160,37349888,64
37499016,37547292,10
38161983,38162111,11
38158156,38139119,406
38159792,38160407,48
38160407,38160780,22
37519527,37741937,13
37786773,37910494,44
37318314,37385319,21
37337908,37625691,15
37474908,37452953,46
37582649,37578969,24
37743383,37744690,15
37586412,37599565,13
37646710,37485602,19
37485423,37477488,11
37362428,37889517,41
37314307,37859814,54
38159002,38159034,15
38149705,38149788,28
37915317,37920505,17
37944822,38156807,28
37372496,37374418,17
38155207,38155501,10
37568951,37592481,66
37522075,37474908,36
37704005,37701675,28
37511445,37372496,14
37549287,37549029,78
37549642,37585611,95
37474999,37664209,10
38159002,38159054,17
37720613,37277096,36
37802262,37797568,13
38116097,38104881,39
38159496,38159520,11
38159683,38159901,14
38159901,38160194,22
37427098,37403820,22
37537943,37549242,15
37277096,37720613,36
37577814,37578612,19
38159838,38158480,14
37310762,37312192,221
37648145,37772742,10
37291180,37294416,11
37572064,37545390,57
38161075,38161983,12
37545390,37522075,45
38149820,38149705,13
37685542,37572064,44
37318314,37307416,11
38160848,38161175,11
37751499,37739768,12
38157087,38156933,14
37344505,37356175,35
37889559,37973603,12
37588338,37648145,20
38140936,38147148,361
37545390,37572064,18
37522075,37545390,10
