Target,Source,Weight
36535103,36898850,12
35607805,35954511,23
36989169,32194068,18
32744536,34678851,71
31014923,35028224,10
33230905,35199903,10
35312256,37717959,39
36569385,37201948,44
37756300,37685542,30
36679878,37386687,19
34124383,35399659,64
33983054,34010077,10
35453825,33867719,26
35925818,36239768,35
34217727,37083542,39
31156506,36260857,14
34066345,33887798,18
30430224,32880111,83
35229736,36316105,32
33238795,30495134,24
37536821,37493482,198
35403450,31014923,19
33383455,31610760,32
35498987,31675655,14
32943237,34774748,28
37589638,37593605,85
34791938,35765153,72
35444502,30196064,20
35388577,32111684,27
31229669,30952939,59
37206038,37752353,13
36610110,37289897,20
30385232,34815383,47
37198365,31380376,138
32050725,32411379,16
37457228,37475708,12
31253760,33387842,11
34645181,30470551,10
37306650,37304894,90
30402797,30500796,24
38156412,38156452,36
33819907,34522954,21
31226302,35403450,22
35638252,38157543,198
33281420,35523440,20
36611479,37369595,17
30904628,36304086,11
32350261,35909327,19
37819812,38162111,59
36544804,35035953,10
36718747,36723354,66
32709156,31755445,68
35942317,36723354,33
30296282,32868343,10
36555644,34752815,13
33653316,34080887,28
35256241,36208247,17
36550444,37162733,42
31433568,37198365,28
31401984,31113207,28
36950607,38156807,48
35007098,35566789,32
30612363,32762259,10
37356402,37490787,20
35251882,35977032,20
36325388,36322313,57
31196865,31184448,13
37463138,37523289,95
32567861,30163966,18
30389863,30889835,25
37578091,37599559,140
34923327,30049015,27
30977552,33433694,18
31208646,34702762,11
31199415,34450505,21
34557366,35783941,28
32313564,30023663,42
30692731,30385232,13
38159901,38160982,515
34628296,34390788,15
38150001,38148968,115
36360284,35697112,24
31512437,30532670,41
33793617,30964019,14
30967018,32196412,39
33055535,30002995,11
36354697,36237113,27
36502034,36513030,114
34997703,34910615,11
36028734,36139020,11
30638373,36568939,16
34752833,36168393,20
35754849,35954511,34
35783941,36110028,59
33493816,30670366,190
35010632,34300008,35
38106313,38104881,302
35808572,36595278,19
31335660,32611625,13
35554684,32284785,10
32937879,33139032,26
30946011,30806010,11
30337711,37102950,16
32453717,30349944,27
37774007,37725244,15
32844424,32075037,12
32515599,30033098,22
13073089,32390200,12
35188811,31125679,33
33053868,35952282,13
37465132,37337908,91
35858186,34064118,10
30495579,35054569,11
33920111,30984186,26
33574517,33745859,16
33035687,35740361,27
30139983,37162733,13
33557993,33493816,28
30469827,34462566,26
37592416,37656516,29
32867551,32880111,23
34594838,30947439,51
36774634,36567702,153
36488895,33230905,13
34536596,34504171,16
33545484,32444556,18
35834648,37162733,22
36177958,36291758,11
37011877,34742363,18
34493933,35695758,21
37390209,37478193,19
36869863,36752924,36
33193424,30969774,30
36160751,37231807,16
33111818,35453825,45
36743804,37256957,28
34934967,31208646,10
31198756,31669409,10
31017844,31507237,35
34973009,35226205,18
38155501,38156412,24
35275582,37272322,53
37786773,37932970,50
38111299,38147148,128
32319616,34054522,17
32917348,31082487,14
33852558,34200932,21
30553819,34222014,12
32627723,31665929,128
37050906,36917464,41
35895186,32107659,112
37613228,37992267,16
36491601,36513030,52
35527773,37111867,39
33743051,36010408,19
37743383,37411696,37
36770677,35888131,27
32764518,31411258,16
