52,80,200
52,81,56
52,31,185
52,1,3625
52,4,6214
4,80,2181
4,81,1112
4,31,1668
4,1,26426
80,81,1627
80,31,112
80,1,3539
80,4,2531
1,80,3538
1,81,1716
1,31,2338
1,4,30361
358,90,124
358,24,407
358,82,277
24,90,603
24,82,634
272,90,525
272,24,346
272,82,337
4,52,6203
4,8,15896
4,145,334
157,4,23
157,52,3
157,1,41
157,8,4
157,145,9
145,4,293
145,52,54
145,1,617
145,8,206
1,52,3826
1,8,21154
1,145,381
84,4,2374
84,52,158
84,1,6952
84,8,2052
84,145,44
29,1,11747
29,137,694
29,153,1028
29,154,1769
153,29,1219
153,1,1616
153,137,38
153,154,57
32,29,772
32,1,1027
32,137,36
32,153,361
32,154,98
293,29,125
293,1,108
293,137,36
293,153,111
293,154,41
136,29,2454
136,1,3506
136,137,324
136,153,334
136,154,565
26,7,12431
26,4,11745
26,63,140
26,156,24
26,62,247
4,7,18910
4,63,244
4,156,20
4,62,289
7,4,21305
7,63,141
7,156,19
7,62,268
8,4,17929
8,1,20017
8,5,928
8,52,2890
1,5,2978
207,47,62
207,163,220
163,207,218
163,47,647
4,207,147
4,47,7543
4,163,1335
18,207,108
18,47,326
18,163,115
7,207,220
7,47,5220
7,163,1579
379,1,469
379,8,171
393,1,109
393,8,32
74,1,1201
74,8,365
66,7,1921
66,110,131
534,7,34
534,110,32
266,7,35
266,110,24
90,84,677
24,84,383
82,84,101
4,65,694
4,34,2024
53,31,119
53,11,21
53,8,707
53,5,1453
68,31,30
68,11,33
68,8,176
68,5,56
1,11,1140
11,31,394
11,8,1329
11,5,79
31,11,393
31,8,1611
31,5,131
29,136,2107
29,11,273
29,8,4123
154,136,594
154,1,2564
154,11,44
154,8,1029
154,29,2252
1,136,3015
1,29,11344
84,228,1937
7,228,360
7,84,1866
228,84,1770
112,9,41
112,267,7
9,267,34
36,9,1155
36,267,34
250,228,7
250,7,155
250,84,10
84,7,1770
10,228,551
10,7,1260
10,84,5826
90,192,308
90,82,344
90,371,34
192,82,300
192,371,58
82,192,338
82,371,32
24,192,970
24,371,102
142,192,348
142,82,276
142,371,36
36,26,656
36,7,2807
36,19,227
36,83,56
7,26,11775
7,19,2805
7,83,1730
47,4,7355
47,106,114
47,9,952
47,322,20
6,4,10705
6,106,35
6,9,5418
6,47,1796
6,322,479
4,106,646
4,9,4672
4,322,485
1,106,1290
1,9,570
1,47,4397
1,322,881
565,4,6
565,106,5
565,9,5
565,47,5
565,322,5
136,8,1109
136,11,57
136,66,59
1,66,1503
11,29,411
11,1,1458
11,66,798
8,29,4120
8,11,1139
8,66,981
29,66,351
29,47,1138
29,4,6597
6,1,3683
6,8,2949
4,6,8788
1,6,4024
29,6,890
154,6,245
154,4,1553
4,29,5433
4,284,3
1,284,3
472,29,3
472,284,3
472,1,262
472,4,116
1,42,4692
1,73,3182
1,112,172
42,4,5106
42,1,6107
42,73,490
42,112,70
4,42,3638
4,73,1695
4,112,256
73,42,458
73,4,1843
73,1,3208
73,112,34
85,1,357
85,8,66
192,1,292
192,8,45
142,1,276
142,8,31
27,163,506
27,7,2545
27,4,2154
27,8,732
7,8,6029
83,163,73
83,7,1591
83,4,1366
83,8,982
163,7,1867
163,4,1729
163,8,428
27,11,85
27,6,987
8,6,3240
8,7,6107
4,11,1268
7,11,1733
7,6,11994
55,52,144
55,19,68
55,4,165
112,52,123
112,19,27
112,55,17
112,4,344
46,52,433
46,19,220
46,55,65
46,4,1570
7,52,4635
7,55,173
113,52,8
113,19,12
113,55,15
113,4,15
1,395,190
1,142,473
1,24,1719
1,170,261
1,521,6
395,142,121
395,24,102
395,170,63
395,521,6
4,395,63
4,142,111
4,24,890
4,170,126
4,521,6
142,395,108
142,24,547
142,170,33
142,521,6
543,73,21
543,366,28
543,8,25
543,20,89
543,4,99
366,73,170
366,8,206
366,20,176
366,4,317
20,73,204
20,366,178
20,8,389
20,4,1744
1,366,554
1,20,994
73,366,214
73,8,1364
73,20,245
1,59,2856
1,399,516
1,400,502
59,399,453
59,400,601
59,4,2260
59,1,2776
10,59,43
10,399,21
10,400,16
10,4,1812
10,1,4379
399,59,489
399,400,149
399,4,420
399,1,585
42,59,968
42,399,152
42,400,275
84,26,264
84,71,91
4,26,10273
4,71,1051
1,26,2651
1,71,1931
73,47,193
73,489,218
1,489,534
5,306,345
5,4,1455
5,1,2963
5,53,1318
53,306,237
53,4,1053
53,1,1780
20,306,70
20,5,83
20,1,836
20,53,51
1,306,454
1,53,1647
54,306,43
54,5,319
54,4,185
54,1,391
54,53,117
4,12,1977
7,9,6731
7,12,2434
9,6,5666
9,12,701
9,7,7068
9,8,1593
117,6,333
117,9,566
117,12,64
117,7,695
117,8,243
1,10,3677
10,66,220
26,83,2082
26,74,62
26,75,40
83,74,62
83,26,1881
83,75,57
8,83,965
8,74,318
8,26,4166
8,75,85
219,4,864
219,8,253
219,83,20
219,26,641
66,219,126
66,4,2041
66,8,1200
66,83,142
66,26,1013
26,219,610
26,8,4372
65,219,173
65,4,999
65,8,384
65,83,99
65,26,1137
652,219,25
652,4,31
652,8,20
652,83,11
652,26,26
163,26,842
163,299,320
26,47,3733
26,163,587
26,299,286
4,299,319
299,47,231
299,4,421
299,163,266
299,26,362
47,163,350
47,26,3023
47,299,103
140,143,1271
140,357,238
140,100,174
140,591,106
140,26,1286
357,143,466
357,100,93
357,591,62
357,26,345
143,357,265
143,100,254
143,591,144
143,26,1920
7,143,1731
7,357,179
7,100,1661
7,591,120
26,143,1582
26,357,232
26,100,737
26,591,92
82,42,24
82,44,13
82,162,13
90,42,51
90,44,16
90,162,13
24,42,88
24,44,52
24,162,13
192,42,19
192,44,27
192,162,13
1,331,907
73,331,272
44,42,139
162,42,96
6,7,12655
269,7,911
47,5,192
47,53,104
47,1,3437
47,634,6
1,634,23
8,53,562
8,634,9
5,634,19
80,52,201
81,52,74
81,4,1494
81,80,1871
81,1,2031
31,52,281
31,4,2229
31,80,124
31,1,2862
37,95,64
37,96,64
37,97,64
37,1,64
38,95,64
38,96,64
38,97,64
38,1,224
39,95,64
39,96,64
39,97,64
39,1,76
7,95,64
7,96,146
7,97,81
7,1,1206
47,8,2409
47,105,481
1,105,1097
8,105,765
5,8,1050
5,105,16
6,100,2100
6,117,243
6,52,1770
4,100,1016
4,117,234
9,100,750
9,117,538
9,52,865
117,100,14
117,52,35
6,40,30
6,128,415
4,40,67
4,128,430
7,40,43
7,128,600
36,40,21
36,52,417
36,6,1999
36,4,2059
36,128,185
8,42,1424
90,24,532
1,82,316
1,90,2139
1,192,567
84,42,220
10,71,91
10,8,1318
10,42,141
66,6,609
26,6,4768
1,27,513
8,27,689
204,4,291
204,27,44
204,1,304
204,29,368
29,27,122
19,301,20
19,60,62
19,4,2290
19,7,2758
19,46,217
60,301,100
60,4,905
60,7,919
60,46,79
317,301,1
317,60,7
317,4,250
317,7,330
317,46,9
4,301,207
4,60,798
4,46,1092
6,301,34
6,60,125
6,46,178
8,393,18
8,379,172
1,393,49
1,379,366
1,74,1295
8,47,3193
11,47,257
11,4,1468
66,47,398
66,1,1884
66,29,411
78,42,434
78,4,672
78,1,655
78,79,80
306,42,113
306,78,107
306,4,327
306,1,441
306,79,77
4,78,632
4,79,438
1,78,676
1,79,516
135,269,10
135,44,104
135,28,10
135,4,629
135,46,23
401,269,12
401,44,89
401,28,10
401,4,257
401,46,14
1,269,10
1,44,688
1,28,24
1,46,372
20,269,50
20,44,286
20,28,14
20,46,138
44,269,32
44,28,11
44,4,560
44,46,27
1,154,2045
136,4,2144
4,154,1122
52,8,2338
52,29,936
52,154,253
84,66,379
84,9,197
84,152,72
84,132,63
132,66,23
132,7,368
132,9,621
132,152,266
6,66,496
6,152,327
6,132,252
8,9,1670
8,152,276
8,132,282
4,66,1574
4,152,469
4,132,391
402,7,13
402,11,9
473,7,3
473,11,9
269,11,35
14,7,710
14,11,121
289,7,115
289,11,201
4,57,546
4,249,202
1,57,705
1,249,246
42,57,142
42,249,50
57,1,878
57,42,171
57,4,618
57,249,199
1,84,6682
133,46,39
133,586,12
133,7,1087
133,36,190
586,46,9
586,133,16
586,7,47
586,36,9
7,46,1375
7,133,820
7,586,23
7,36,1959
52,46,336
52,133,191
52,586,9
52,7,3990
52,36,276
150,6,1496
150,100,196
150,36,270
150,7,1639
100,6,2996
100,150,267
100,36,261
100,7,2641
151,6,609
151,150,735
151,100,102
151,36,136
151,7,545
6,150,1409
6,36,1420
4,451,78
1,451,32
29,84,1256
29,52,664
136,84,584
136,52,247
82,142,292
82,281,8
82,312,56
90,142,209
90,281,7
90,312,254
24,142,578
24,281,51
24,312,253
192,142,307
192,281,12
192,312,252
65,6,464
65,7,1384
219,6,356
219,7,1236
219,65,111
6,26,4606
6,65,274
6,219,362
13,6,2172
13,7,2129
13,26,529
13,65,46
13,219,57
26,65,826
14,1,1342
14,42,573
14,4,1633
14,73,216
7,34,3174
7,2,416
7,226,414
7,35,722
34,7,4061
34,2,32
34,226,51
34,35,633
13,4,1534
34,6,1322
34,4,2853
52,6,1331
4,682,113
1,682,199
42,8,2368
42,682,62
57,73,62
57,8,446
57,682,62
110,8,74
110,7,365
110,4,128
47,52,1747
47,46,217
19,52,523
19,47,555
34,52,655
34,47,879
34,46,42
160,7,306
6,101,59
11,7,1615
11,101,13
4,101,194
8,101,97
26,101,240
237,4,66
237,7,48
237,110,8
237,52,123
237,47,66
50,4,33
50,7,38
50,110,8
50,52,31
50,47,10
341,4,134
341,7,125
