Source,Target
37789355,35416681
35416681,35480698
35416681,35921594
33872357,31695801
30192000,31695801
34543536,31695801
34543536,33872357
36160751,30043978
36160751,33011319
36160751,35918209
36160751,13112848
36160751,36015117
13112848,30043978
13112848,35918209
13112848,36160751
13112848,34021173
30148292,30043978
30148292,33011319
30148292,31435676
30148292,30294275
30148292,34713920
37016897,35431311
37016897,34458208
37016897,37224069
37224069,35431311
37224069,34458208
37224069,37016897
37224069,37940151
37224069,38040479
34452867,34032656
34452867,34458208
35242864,34032656
35242864,36160751
35242864,33943147
33067364,33011319
36015117,33011319
36015117,36160751
36015117,13112848
36015117,36008810
36015117,32945730
37231807,33011319
37231807,36160751
36168393,34752833
36168393,35947223
36693787,34752833
36693787,36724871
33140713,34458208
33140713,33787629
33140713,34433699
37940151,34458208
37940151,38040479
37669305,35340926
37669305,36073755
37669305,37679836
36073755,35340926
36073755,32733144
36073755,34643199
36642557,35340926
34643199,35340926
34643199,36073755
34643199,34721795
36796265,35177349
36796265,36807968
36796265,36796180
36796265,36799129
30107434,35177349
30107434,31566664
30107434,31555707
30107434,36000324
30107434,30110857
37161897,35177349
35604718,35177349
35604718,34721795
35604718,35934790
36794627,35177349
36794627,31474088
36794627,35517127
36794627,36796265
35595782,35177349
35595782,36480108
35595782,34691094
35595782,35304104
31555707,31566664
31555707,30107434
31555707,34807829
37193442,35177349
35738578,35177349
35738578,34721795
35738578,35479809
35738578,31552321
36480108,35177349
36480108,36459948
34721795,35177349
34721795,34630891
34721795,34709967
34721795,35745816
34721795,35304104
36904327,35177349
36904327,35304104
36904327,35728775
37246945,35177349
37246945,35940516
37246945,37363118
34646710,35177349
34646710,31474088
35940516,35177349
35940516,37246945
35940516,37363118
34691094,35177349
34691094,34630891
34691094,36796265
35920270,35177349
35920270,33732532
35920270,33621554
34709967,35177349
34709967,35517113
35745816,34630891
35972764,30163549
37319223,35517127
37319223,35770622
35304104,34721795
35304104,35728775
36000324,31566664
34807829,36000324
36550444,35846068
35834648,36550444
37310762,37312192
37310762,37310662
36505619,35399659
36505619,36320230
36505619,36019794
37889517,37312192
37889517,37362428
37889517,37853021
37889517,37264980
37362428,37312192
37362428,37889517
37362428,37362337
37362428,37473184
35455633,34176167
35455633,31065954
32912861,35455633
36795112,30203298
36795112,36098548
32577248,30203298
32577248,35871100
32741902,31022933
32741902,30373625
32741902,32058776
32741902,30820782
32741902,30545509
32156511,30203298
32156511,33107694
35485126,33732532
35485126,32908843
35485126,33881922
35485126,31014111
31443139,36058745
31443139,31389020
31443139,31340461
37774492,36058745
37774492,37362428
31441286,30402657
35058668,30402657
36530264,35399659
36530264,36505619
34208222,34244225
34208222,35731394
34208222,37134400
34208222,30954836
31076354,34244225
35731394,34244225
32903437,30013969
33050231,35918209
33050231,13122390
33050231,34231188
33050231,30900667
33050231,31164202
31328935,35918209
31328935,36160751
31328935,13122390
13122390,35918209
13122390,33050231
32313197,35918209
35844700,35386041
38171889,36866368
38171889,38171813
38171889,38171728
38171889,38168963
38171889,37939962
38171889,36613342
38171889,36699349
38171889,38172968
38171889,38176352
38171889,38182645
38171889,38183649
38171889,38158156
38171889,38139119
37065665,37072606
37207577,37198669
37207577,37889517
37207577,37231003
37198499,37198003
34032260,35480698
34032260,32880111
34032260,30430224
34032260,31026649
30430224,35480698
30430224,32880111
30430224,36136244
36136244,36306035
36136244,34564626
31026649,32880111
31026649,34032260
31026649,30430224
31026649,30900161
31026649,33425326
35574047,32880111
35574047,34032260
35574047,30430224
35574047,31052152
35574047,33559973
31345766,32880111
30955649,32880111
30955649,35004533
30955649,30101395
30955649,30955499
37048344,36995305
35847899,36160751
37234719,36160751
37234719,37231807
37234719,34021173
37234719,37098714
30160292,36160751
34230968,36160751
34230968,30834913
34021173,33732532
31435676,30148292
36026433,32187334
36026433,36060256
36026433,34868909
37230211,37224069
38040479,37224069
38040479,37940151
38040479,38040122
36604502,34452867
36008810,35999876
37652708,36015117
37652708,37230211
30746410,33140713
34433699,32983135
34433699,34622847
34433699,33497065
34433699,35136058
30375070,33140713
30375070,36482331
32736504,33140713
36117191,33140713
36117191,35748748
36117191,34265147
37679836,36073755
37679836,36642557
37679836,37306562
36796180,35402073
36799129,37032425
36851886,36796265
36851886,37010843
36851886,31552303
35934790,35479809
36860135,36794627
33101979,31555707
33101979,33075940
35479809,35738578
35479809,34721795
35479809,31552321
37363118,37246945
36884064,34646710
36884064,35670657
36884064,36875428
33732532,35189164
33732532,36100571
33732532,35680648
33732532,32931675
33621554,33979710
35896352,35745816
34576637,37319223
37750350,36550444
37750350,36069827
37750350,32385006
35846068,35834648
36826251,36550444
36069827,36550444
36069827,33353468
37142518,36550444
31839038,36550444
31839038,34783574
31839038,30545657
31839038,30671012
35804403,36550444
33837095,36505619
33837095,34334841
36019794,36763296
36019794,34093837
36019794,32857477
37321881,36505619
37321881,37362428
37321881,37237971
37095384,36505619
37853021,34680441
37264980,37889517
37264980,36548312
37264980,30804978
37264980,35670665
37362337,37362428
37473184,37362428
37473184,36074117
37168634,37362428
37168634,37168686
31080888,35455633
31080888,32912861
31080888,34176167
31080888,31065954
30035960,32912861
30754623,36795112
30390329,36795112
31478342,36795112
30938863,36795112
30938863,31056505
31022933,32741902
31022933,32058776
31022933,32276469
31022933,34590200
31022933,35413166
30373625,32741902
30373625,32058776
30373625,35781848
30373625,30820782
30373625,36347237
32058776,32741902
32058776,31022933
32058776,30373625
32058776,34590200
32058776,33749023
35781848,32741902
35781848,30373625
35781848,32058776
35781848,34590200
35781848,36347237
35983547,32741902
35983547,30733016
35983547,30012861
35983547,30481200
35983547,30878415
30820782,32741902
30820782,30373625
32276469,32741902
32276469,35413166
34590200,32741902
34590200,31022933
34590200,32058776
34590200,32276469
30545509,32741902
30545509,31022933
30545509,30373625
30545509,32058776
30545509,30820782
36441160,32741902
36441160,31672304
36441160,34019637
31672304,32741902
31672304,36441160
31672304,34019637
31672304,32125487
30223694,32741902
30223694,32342813
30733016,32741902
30733016,30385232
30733016,31665929
36936998,32741902
33107694,32001160
33107694,33673344
33107694,31342345
33107694,32617156
32908843,35485126
33881922,35485126
33881922,32908843
31389020,31266017
32968069,35058668
32968069,30424183
37134400,34208222
30954836,35731394
30954836,32903437
35918989,31076354
34231188,33050231
38171813,38171728
38171813,38171738
38171813,38171182
38171997,38171889
38171997,38171911
38171997,38171811
38171728,38171704
38171728,38171683
38171728,38171300
38168963,38168836
38168963,37318844
38168963,37285114
38172968,38176352
38172968,38172868
38172968,38172575
38172968,38172159
38172968,38172361
38172968,38172466
38176352,38172968
38176352,38176447
38176352,38176099
38176352,38176188
38176352,38175922
38176352,38178134
38176352,38178165
38176352,38178875
38176352,37167512
38176352,36407501
38176352,38179329
38176352,36701990
38176352,36346359
38171139,38171889
38171139,38176352
38171139,38170975
38171139,38170319
38171139,38170658
38171139,38171076
38171139,38155125
38171139,35540454
38183649,38158156
38183649,38139119
38158156,38139119
38139119,38158156
37322314,37207577
37322314,37148299
37198003,37197872
30900161,34032260
30900161,30430224
37096884,34032260
30043269,34032260
36306035,36136244
36306035,37048344
36306035,34564626
31052152,35574047
31052152,30039786
36060256,36026433
36060256,34868909
36060256,36031779
36060256,34706103
37063566,33943147
37063566,33381290
37063566,32820998
31239989,32945730
33050844,35947223
32424903,34433699
32424903,32383056
32424903,30946662
32424903,31488440
32983135,34433699
32983135,33198717
32983135,33229176
32983135,32991834
33198717,34433699
33198717,32983135
33198717,33497065
33198717,32586283
